Abner,Ab
Abraham,Abe,Abey,Abie
Ace,Acey,Acie
Alan,Al,Allie
Alban,Alby
Albert,Al,Allie,Bertie
Alex,Al
Alexander,Al,Alec,Aleck,Elsie,Lex,Sandy,Sawney,Xan
Alfonso,Alf,Alfie,Alfy
Alfonzo,Alf,Alfie,Alfy,Fonz,Fonzie
Alfred,Al,Alf,Alfie,Alfy,Allie,Ally,Fred
Alistair,Allie
Alonzo,Lonnie
Alvin,Allie,Alvie,Alvy
Ambrose,Ambers,Ambie,Amby,Brose
Andrew,Andy
Anthony,Ant,Tony
Archibald,Archie
Arnold,Arnie
Arthur,Arfie,Art,Artie,Arty
Augustus,Augie,Gus
Barnabas,Barney
Barnaby,Barney
Barnett,Barney
Barry,Baz,Bazza
Bartholomew,Bart,Batt
Basil,Baz,Bazza
Benedict,Ben
Benjamin,Ben,Benji,Benjie,Benjy,Bennie,Benny
Bernard,Barney,Bernie
Bert,Bertie
Bertram,Bertie
Bradford,Brad
Bradley,Brad
Bradly,Brad
Brian,Bri
Caleb,Cal,Cale
Calum,Cal
Calvin,Cal
Cameron,Cam
Campbell,Camp
Charles,Charley,Charlie,Chas,Chaz,Chip,Chuck
Chauncey,Chance
Chester,Chet
Christian,Chris,Kris
Christopher,Chip,Chris,Christie,Kit,Kris
Chuck,Chuckie,Chucky
Clayton,Clay
Clement,Clem,Clemmie
Clifford,Cliff
Conor,Con
Cornelius,Con
Curtis,Curt
Cyril,Cy
Cyrus,Cy
Daniel,Dan,Dani,Danny
Danny,Dan,Dani,Dannie
David,Dave,Davey,Davie,Davo,Davy
Denis,Denny
Dennis,Den,Denny
Derek,Del
Dermot,Jeremy
Desmond,Des
Diarmaid,Dermot,Jeremy
Diarmid,Diarmi,Dermot,Jeremy
Diarmuid,Dermot,Jeremy
Dick,Dickie
Dmitry,Dima
Dominic,Dom
Don,Donnie,Donny
Donald,Don,Donnie,Donny
Donovan,Donny
Douglas,Doug,Dougie
Duncan,Dunky
Eadbhard,Audie
Eben,Ebbie
Ebenezer,Ebbie
